name=A Major,tempo=60
# Format: note_name,finger,hand,component,position,delta_time
# Note
C4,pinky,left,servo,-7.0,0.125
C4,pinky,left,solenoid,1.0,0.125
C4,pinky,left,solenoid,0.0,0.75
# Note
D4,ring,left,servo,-20.0,0.125
D4,ring,left,solenoid,1.0,0.125
D4,ring,left,solenoid,0.0,0.75
# Note
E4,ring,left,servo,-2.0,0.125
E4,ring,left,solenoid,1.0,0.125
E4,ring,left,solenoid,0.0,0.75
# Note
F4,middle,left,servo,-15.0,0.125
F4,middle,left,solenoid,1.0,0.125
F4,middle,left,solenoid,0.0,0.75
# Note
G4,middle,left,servo,1.0,0.125
G4,middle,left,solenoid,1.0,0.125
G4,middle,left,solenoid,0.0,0.75
# Note
A4,index,left,servo,0.0,0.125
A4,index,left,solenoid,1.0,0.125
A4,index,left,solenoid,0.0,0.75
# Note
B4,index,left,servo,10.0,0.125
B4,index,left,solenoid,1.0,0.125
B4,index,left,solenoid,0.0,0.75
# Note
C5,thumb,left,servo,0.0,0.125
C5,thumb,left,solenoid,1.0,0.125
C5,thumb,left,solenoid,0.0,0.75
# Note
B4,index,left,servo,10.0,0.125
B4,index,left,solenoid,1.0,0.125
B4,index,left,solenoid,0.0,0.75
# Note
A4,index,left,servo,0.0,0.125
A4,index,left,solenoid,1.0,0.125
A4,index,left,solenoid,0.0,0.75
# Note
G4,middle,left,servo,1.0,0.125
G4,middle,left,solenoid,1.0,0.125
G4,middle,left,solenoid,0.0,0.75
# Note
F4,middle,left,servo,-15.0,0.125
F4,middle,left,solenoid,1.0,0.125
F4,middle,left,solenoid,0.0,0.75
# Note
E4,ring,left,servo,-2.0,0.125
E4,ring,left,solenoid,1.0,0.125
E4,ring,left,solenoid,0.0,0.75
# Note
D4,ring,left,servo,-20.0,0.125
D4,ring,left,solenoid,1.0,0.125
D4,ring,left,solenoid,0.0,0.75
# Note
C4,pinky,left,servo,-7.0,0.125
C4,pinky,left,solenoid,1.0,0.125
C4,pinky,left,solenoid,0.0,0.75
