name=Jingle Bells,tempo=120
# Format: note_name,finger,hand,servo_position,solenoid_activation,duration
# E E E (rest) E E E (rest) E G C D E (rest)
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,2.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,2.0
E4,middle,left,90.0,1.0,1.0
G4,index,left,90.0,1.0,1.0
C4,pinky,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,2.0
# Second phrase - F F F F F E E E E D D E D G
F4,index,right,90.0,1.0,0.5
F4,index,right,90.0,1.0,0.5
F4,index,right,90.0,1.0,1.0
F4,index,right,90.0,1.0,0.5
F4,index,right,90.0,1.0,0.5
E4,middle,left,90.0,1.0,0.5
E4,middle,left,90.0,1.0,0.5
E4,middle,left,90.0,1.0,0.5
E4,middle,left,90.0,1.0,0.5
D4,ring,left,90.0,1.0,0.5
D4,ring,left,90.0,1.0,0.5
E4,middle,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
G4,index,left,90.0,1.0,2.0
