name=Mary Had a Little Lamb,tempo=90
# Format: note_name,finger,hand,servo_position,solenoid_activation,duration
# Notes are in the same order as the song
# E D C D E E E (rest) D D D (rest) E G G (rest) E D C D E E E E D D E D C
E4,middle,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
C4,pinky,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,2.0
# Second phrase
D4,ring,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,2.0
E4,middle,left,90.0,1.0,1.0
G4,index,left,90.0,1.0,1.0
G4,index,left,90.0,1.0,2.0
# Third phrase
E4,middle,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
C4,pinky,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
# Final phrase
D4,ring,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
E4,middle,left,90.0,1.0,1.0
D4,ring,left,90.0,1.0,1.0
C4,pinky,left,90.0,1.0,2.0
