name=Mary Had a Little Lamb,tempo=60
# Format: note_name,finger,hand,component,position,delta_time
E5,middle,right,servo,-10.0,0.0
E5,middle,right,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.7815215437499999
D5,index,right,servo,0.0,0.00108695625
D5,index,right,solenoid,1.0,0
D5,index,right,solenoid,0.0,0.25978254375
C5,thumb,right,servo,8.0,0.00108695625
C5,thumb,right,solenoid,1.0,0
E4,index,left,servo,0.0,0.0
E4,index,left,solenoid,1.0,0
C5,thumb,right,solenoid,0.0,0.52065204375
D5,index,right,servo,0.0,0.00108695625
D5,index,right,solenoid,1.0,0
E4,index,left,solenoid,0.0,0.25978254375
D4,middle,left,servo,3.0,0.00108695625
D4,middle,left,solenoid,1.0,0
D5,index,right,solenoid,0.0,0.25978254375
D4,middle,left,solenoid,0.0,0.0
E5,middle,right,servo,-10.0,0.00108695625
E5,middle,right,solenoid,1.0,0
C4,ring,left,servo,3.0,0.0
C4,ring,left,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.52065204375
C4,ring,left,solenoid,0.0,0.0
E5,middle,right,servo,-10.0,0.00108695625
E5,middle,right,solenoid,1.0,0
D4,middle,left,servo,3.0,0.0
D4,middle,left,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.52065204375
D4,middle,left,solenoid,0.0,0.0
E5,middle,right,servo,-10.0,0.00108695625
E5,middle,right,solenoid,1.0,0
E4,index,left,servo,0.0,0.0
E4,index,left,solenoid,1.0,0
E4,index,left,solenoid,0.0,0.52065204375
E4,index,left,servo,0.0,0.00108695625
E4,index,left,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.52065204375
E4,index,left,solenoid,0.0,0.0
D5,index,right,servo,0.0,0.00108695625
D5,index,right,solenoid,1.0,0
E4,index,left,servo,0.0,0.0
E4,index,left,solenoid,1.0,0
D5,index,right,solenoid,0.0,0.52065204375
D5,index,right,servo,0.0,0.00108695625
D5,index,right,solenoid,1.0,0
D5,index,right,solenoid,0.0,0.52065204375
E4,index,left,solenoid,0.0,0.0
D5,index,right,servo,0.0,0.00108695625
D5,index,right,solenoid,1.0,0
D4,middle,left,servo,3.0,0.0
D4,middle,left,solenoid,1.0,0
D4,middle,left,solenoid,0.0,0.52065204375
D4,middle,left,servo,3.0,0.00108695625
D4,middle,left,solenoid,1.0,0
D5,index,right,solenoid,0.0,0.52065204375
D4,middle,left,solenoid,0.0,0.0
E5,middle,right,servo,-10.0,0.00108695625
E5,middle,right,solenoid,1.0,0
D4,middle,left,servo,3.0,0.0
D4,middle,left,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.52065204375
G5,ring,right,servo,-5.0,0.00108695625
G5,ring,right,solenoid,1.0,0
G5,ring,right,solenoid,0.0,0.52065204375
D4,middle,left,solenoid,0.0,0.0
G5,ring,right,servo,-5.0,0.00108695625
G5,ring,right,solenoid,1.0,0
E4,index,left,servo,0.0,0.0
E4,index,left,solenoid,1.0,0
E4,index,left,solenoid,0.0,0.52065204375
G4,thumb,left,servo,0.0,0.00108695625
G4,thumb,left,solenoid,1.0,0
G5,ring,right,solenoid,0.0,0.52065204375
G4,thumb,left,solenoid,0.0,0.0
E5,middle,right,servo,-10.0,0.00108695625
E5,middle,right,solenoid,1.0,0
G4,thumb,left,servo,0.0,0.0
G4,thumb,left,solenoid,1.0,0
E5,middle,right,solenoid,0.0,0.7815215437499999
